place,competitionId,competition,country,startDate,endDate,partScore,participationScorePlace,resultScore,resultScorePlace,competitionScore,competitionUrl
775,603181,"Warrior Opener, Warrior Park, Fort Wayne, IN",USA,09 APR 2021,10 APR 2021,0,,65466,774,65466,https://worldathletics.org/records/competition-performance-rankings/ranking/603181
776,606799,"Buc Scoring Invite, Puryear Field at the Pine Bowl/Boppell Track, Spokane, WA",USA,30 APR 2021,30 APR 2021,0,,65465,775,65465,https://worldathletics.org/records/competition-performance-rankings/ranking/606799
777,603590,"50th Spring Season Middle & High Shcool Athletics Meeting, Yecheon",KOR,14 APR 2021,18 APR 2021,5,704,65453,777,65458,https://worldathletics.org/records/competition-performance-rankings/ranking/603590
778,602747,"Penn Challenge, Franklin Field, Philadelphia, PA",USA,27 MAR 2021,27 MAR 2021,0,,65456,776,65456,https://worldathletics.org/records/competition-performance-rankings/ranking/602747
779,604450,"Interregional U18 Meeting, Stadion AWF, Kraków",POL,29 MAY 2021,29 MAY 2021,20,545,65399,781,65419,https://worldathletics.org/records/competition-performance-rankings/ranking/604450
780,607312,"UW - La Crosse Eagle Open, La Crosse, WI",USA,14 MAY 2021,14 MAY 2021,0,,65417,779,65417,https://worldathletics.org/records/competition-performance-rankings/ranking/607312
781,602188,"Indian Grand Prix 2, Patiala",IND,25 FEB 2021,25 FEB 2021,135,262,65281,791,65416,https://worldathletics.org/records/competition-performance-rankings/ranking/602188
782,603818,"Trofeo Ibercaja Ciudad de Zaragoza, Zaragoza",ESP,08 MAY 2021,08 MAY 2021,80,326,65332,787,65412,https://worldathletics.org/records/competition-performance-rankings/ranking/603818
783,604443,"National U20 Cup for Clubs, Sports Park Mladost, Zagreb",CRO,29 MAY 2021,30 MAY 2021,0,,65402,780,65402,https://worldathletics.org/records/competition-performance-rankings/ranking/604443
784,605677,"Tilastopajacup 5, Paavo Nurmen Stadion, Turku",FIN,04 AUG 2021,04 AUG 2021,0,,65399,781,65399,https://worldathletics.org/records/competition-performance-rankings/ranking/605677
785,603785,"WHAC Ch., Warrior Park, Fort Wayne, IN",USA,29 APR 2021,30 APR 2021,0,,65387,783,65387,https://worldathletics.org/records/competition-performance-rankings/ranking/603785
786,603862,"Kaderwettkampf I, Dantestadion, München",GER,09 MAY 2021,09 MAY 2021,0,,65374,784,65374,https://worldathletics.org/records/competition-performance-rankings/ranking/603862
787,604765,"3. kolo Atletickej ligy, Atletický štadión TU, Košice",SVK,13 JUN 2021,13 JUN 2021,5,704,65360,785,65365,https://worldathletics.org/records/competition-performance-rankings/ranking/604765
788,604219,"Meeting Gold Lombardia, Centro Sportivo Saletti, Nembro",ITA,22 MAY 2021,22 MAY 2021,5,704,65334,786,65339,https://worldathletics.org/records/competition-performance-rankings/ranking/604219
789,605286,"National Athletics League Premier London South, Linford Christie Stadium, London",GBR,03 JUL 2021,03 JUL 2021,55,381,65279,792,65334,https://worldathletics.org/records/competition-performance-rankings/ranking/605286
790,606486,"Indiana Little State Championships, Wildcat Track, Marion, IN",USA,16 APR 2021,17 APR 2021,0,,65317,788,65317,https://worldathletics.org/records/competition-performance-rankings/ranking/606486
791,602493,"Ice Breaker Classic, Uni. of Texas at Tyler, Tyler, TX",USA,12 MAR 2021,13 MAR 2021,0,,65292,789,65292,https://worldathletics.org/records/competition-performance-rankings/ranking/602493
